period_end_date,revenue,form,fp,fy,filed_date,calendar_frame,tag_used_revenue,net_income,tag_used_net_income,opex,tag_used_opex,ticker,cik
2026-03-28,111184000000.0,10-Q,Q2,2026.0,2026-05-01,CY2026Q1,RevenueFromContractWithCustomerExcludingAssessedTax,29578000000.0,NetIncomeLoss,18896000000.0,OperatingExpenses,AAPL,0000320193
2026-06-27,109417000000.0,10-Q,Q3,2026.0,2026-07-31,CY2026Q2,RevenueFromContractWithCustomerExcludingAssessedTax,29789000000.0,NetIncomeLoss,19075000000.0,OperatingExpenses,AAPL,0000320193
2019-03-31,30571000000.0,10-Q,Q3,2019.0,2019-04-24,,RevenueFromContractWithCustomerExcludingAssessedTax,8809000000.0,NetIncomeLoss,,,MSFT,0000789019
2019-06-30,33717000000.0,10-K,Q4,2019.0,2019-08-01,,RevenueFromContractWithCustomerExcludingAssessedTax,13187000000.0,NetIncomeLoss,,,MSFT,0000789019
2019-09-30,33055000000.0,10-Q,Q1,2020.0,2019-10-23,,RevenueFromContractWithCustomerExcludingAssessedTax,10678000000.0,NetIncomeLoss,,,MSFT,0000789019
2019-12-31,36906000000.0,10-Q,Q2,2020.0,2020-01-29,,RevenueFromContractWithCustomerExcludingAssessedTax,11649000000.0,NetIncomeLoss,,,MSFT,0000789019
2020-03-31,35021000000.0,10-Q,Q3,2020.0,2020-04-29,,RevenueFromContractWithCustomerExcludingAssessedTax,10752000000.0,NetIncomeLoss,,,MSFT,0000789019
2020-06-30,38033000000.0,10-K,Q4,2020.0,2020-07-30,,RevenueFromContractWithCustomerExcludingAssessedTax,11202000000.0,NetIncomeLoss,,,MSFT,0000789019
2020-09-30,37154000000.0,10-Q,Q1,2021.0,2020-10-27,,RevenueFromContractWithCustomerExcludingAssessedTax,13893000000.0,NetIncomeLoss,,,MSFT,0000789019
2020-12-31,43076000000.0,10-Q,Q2,2021.0,2021-01-26,,RevenueFromContractWithCustomerExcludingAssessedTax,15463000000.0,NetIncomeLoss,,,MSFT,0000789019
2021-03-31,41706000000.0,10-Q,Q3,2021.0,2021-04-27,,RevenueFromContractWithCustomerExcludingAssessedTax,15457000000.0,NetIncomeLoss,,,MSFT,0000789019
2021-06-30,46152000000.0,10-K,Q4,2021.0,2021-07-29,,RevenueFromContractWithCustomerExcludingAssessedTax,16458000000.0,NetIncomeLoss,,,MSFT,0000789019
2021-09-30,45317000000.0,10-Q,Q1,2022.0,2021-10-26,,RevenueFromContractWithCustomerExcludingAssessedTax,20505000000.0,NetIncomeLoss,,,MSFT,0000789019
2021-12-31,51728000000.0,10-Q,Q2,2022.0,2022-01-25,,RevenueFromContractWithCustomerExcludingAssessedTax,18765000000.0,NetIncomeLoss,,,MSFT,0000789019
2022-03-31,49360000000.0,10-Q,Q3,2022.0,2022-04-26,,RevenueFromContractWithCustomerExcludingAssessedTax,16728000000.0,NetIncomeLoss,,,MSFT,0000789019
2022-06-30,51865000000.0,10-K,Q4,2022.0,2022-07-28,,RevenueFromContractWithCustomerExcludingAssessedTax,16740000000.0,NetIncomeLoss,,,MSFT,0000789019
2022-09-30,50122000000.0,10-Q,Q1,2023.0,2022-10-25,,RevenueFromContractWithCustomerExcludingAssessedTax,17556000000.0,NetIncomeLoss,,,MSFT,0000789019
2022-12-31,52747000000.0,10-Q,Q2,2023.0,2023-01-24,,RevenueFromContractWithCustomerExcludingAssessedTax,16425000000.0,NetIncomeLoss,,,MSFT,0000789019
2023-03-31,52857000000.0,10-Q,Q3,2023.0,2023-04-25,,RevenueFromContractWithCustomerExcludingAssessedTax,18299000000.0,NetIncomeLoss,,,MSFT,0000789019
2023-06-30,56189000000.0,10-K,Q4,2023.0,2023-07-27,,RevenueFromContractWithCustomerExcludingAssessedTax,20081000000.0,NetIncomeLoss,,,MSFT,0000789019
2023-09-30,56517000000.0,10-Q,Q1,2024.0,2023-10-24,,RevenueFromContractWithCustomerExcludingAssessedTax,22291000000.0,NetIncomeLoss,,,MSFT,0000789019
2023-12-31,62020000000.0,10-Q,Q2,2024.0,2024-01-30,,RevenueFromContractWithCustomerExcludingAssessedTax,21870000000.0,NetIncomeLoss,,,MSFT,0000789019
2024-03-31,61858000000.0,10-Q,Q3,2024.0,2024-04-25,,RevenueFromContractWithCustomerExcludingAssessedTax,21939000000.0,NetIncomeLoss,,,MSFT,0000789019
2024-06-30,64727000000.0,10-K,Q4,2024.0,2024-07-30,,RevenueFromContractWithCustomerExcludingAssessedTax,22036000000.0,NetIncomeLoss,,,MSFT,0000789019
2024-09-30,65585000000.0,10-Q,Q1,2025.0,2024-10-30,,RevenueFromContractWithCustomerExcludingAssessedTax,24667000000.0,NetIncomeLoss,14934000000.0,OperatingExpenses,MSFT,0000789019
2024-12-31,69632000000.0,10-Q,Q2,2025.0,2025-01-29,,RevenueFromContractWithCustomerExcludingAssessedTax,24108000000.0,NetIncomeLoss,16180000000.0,OperatingExpenses,MSFT,0000789019
2025-03-31,70066000000.0,10-Q,Q3,2025.0,2025-04-30,,RevenueFromContractWithCustomerExcludingAssessedTax,25824000000.0,NetIncomeLoss,16147000000.0,OperatingExpenses,MSFT,0000789019
2025-06-30,76441000000.0,10-K,Q4,2025.0,2025-07-30,,RevenueFromContractWithCustomerExcludingAssessedTax,27233000000.0,NetIncomeLoss,,,MSFT,0000789019
2025-09-30,77673000000.0,10-Q,Q1,2026.0,2025-10-29,CY2025Q3,RevenueFromContractWithCustomerExcludingAssessedTax,27747000000.0,NetIncomeLoss,15669000000.0,OperatingExpenses,MSFT,0000789019
2025-12-31,81273000000.0,10-Q,Q2,2026.0,2026-01-28,CY2025Q4,RevenueFromContractWithCustomerExcludingAssessedTax,38458000000.0,NetIncomeLoss,17020000000.0,OperatingExpenses,MSFT,0000789019
2026-03-31,82886000000.0,10-Q,Q3,2026.0,2026-04-29,CY2026Q1,RevenueFromContractWithCustomerExcludingAssessedTax,31778000000.0,NetIncomeLoss,17660000000.0,OperatingExpenses,MSFT,0000789019
2026-06-30,90007000000.0,10-K,Q4,2026.0,2026-07-29,CY2026,RevenueFromContractWithCustomerExcludingAssessedTax,35766000000.0,NetIncomeLoss,19879000000.0,OperatingExpenses,MSFT,0000789019
2019-03-31,59700000000.0,10-Q,Q1,2019.0,2019-04-26,,RevenueFromContractWithCustomerExcludingAssessedTax,3561000000.0,NetIncomeLoss,55280000000.0,CostsAndExpenses,AMZN,0001018724
2019-06-30,63404000000.0,10-Q,Q2,2019.0,2019-07-26,,RevenueFromContractWithCustomerExcludingAssessedTax,2625000000.0,NetIncomeLoss,60320000000.0,CostsAndExpenses,AMZN,0001018724
2019-09-30,69981000000.0,10-Q,Q3,2019.0,2019-10-25,,RevenueFromContractWithCustomerExcludingAssessedTax,2134000000.0,NetIncomeLoss,66824000000.0,CostsAndExpenses,AMZN,0001018724
2019-12-31,87437000000.0,10-K,Q4,2019.0,2020-01-31,,RevenueFromContractWithCustomerExcludingAssessedTax,3268000000.0,NetIncomeLoss,83557000000.0,CostsAndExpenses,AMZN,0001018724
2020-03-31,75452000000.0,10-Q,Q1,2020.0,2020-05-01,,RevenueFromContractWithCustomerExcludingAssessedTax,2535000000.0,NetIncomeLoss,71463000000.0,CostsAndExpenses,AMZN,0001018724
2020-06-30,88912000000.0,10-Q,Q2,2020.0,2020-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,5243000000.0,NetIncomeLoss,83069000000.0,CostsAndExpenses,AMZN,0001018724
2020-09-30,96145000000.0,10-Q,Q3,2020.0,2020-10-30,,RevenueFromContractWithCustomerExcludingAssessedTax,6331000000.0,NetIncomeLoss,89951000000.0,CostsAndExpenses,AMZN,0001018724
2020-12-31,125555000000.0,10-K,Q4,2020.0,2021-02-03,CY2020Q4,RevenueFromContractWithCustomerExcludingAssessedTax,7222000000.0,NetIncomeLoss,118682000000.0,CostsAndExpenses,AMZN,0001018724
2021-03-31,108518000000.0,10-Q,Q1,2021.0,2021-04-30,,RevenueFromContractWithCustomerExcludingAssessedTax,8107000000.0,NetIncomeLoss,99653000000.0,CostsAndExpenses,AMZN,0001018724
2021-06-30,113080000000.0,10-Q,Q2,2021.0,2021-07-30,,RevenueFromContractWithCustomerExcludingAssessedTax,7778000000.0,NetIncomeLoss,105378000000.0,CostsAndExpenses,AMZN,0001018724
2021-09-30,110812000000.0,10-Q,Q3,2021.0,2021-10-29,,RevenueFromContractWithCustomerExcludingAssessedTax,3156000000.0,NetIncomeLoss,105960000000.0,CostsAndExpenses,AMZN,0001018724
2021-12-31,137412000000.0,10-K,Q4,2021.0,2022-02-04,,RevenueFromContractWithCustomerExcludingAssessedTax,14323000000.0,NetIncomeLoss,133952000000.0,CostsAndExpenses,AMZN,0001018724
2022-03-31,116444000000.0,10-Q,Q1,2022.0,2022-04-29,,RevenueFromContractWithCustomerExcludingAssessedTax,-3844000000.0,NetIncomeLoss,112775000000.0,CostsAndExpenses,AMZN,0001018724
2022-06-30,121234000000.0,10-Q,Q2,2022.0,2022-07-29,,RevenueFromContractWithCustomerExcludingAssessedTax,-2028000000.0,NetIncomeLoss,117917000000.0,CostsAndExpenses,AMZN,0001018724
2022-09-30,127101000000.0,10-Q,Q3,2022.0,2022-10-28,,RevenueFromContractWithCustomerExcludingAssessedTax,2872000000.0,NetIncomeLoss,124576000000.0,CostsAndExpenses,AMZN,0001018724
2022-12-31,149204000000.0,10-K,Q4,2022.0,2023-02-03,,RevenueFromContractWithCustomerExcludingAssessedTax,278000000.0,NetIncomeLoss,146467000000.0,CostsAndExpenses,AMZN,0001018724
2023-03-31,127358000000.0,10-Q,Q1,2023.0,2023-04-28,,RevenueFromContractWithCustomerExcludingAssessedTax,3172000000.0,NetIncomeLoss,122584000000.0,CostsAndExpenses,AMZN,0001018724
2023-06-30,134383000000.0,10-Q,Q2,2023.0,2023-08-04,,RevenueFromContractWithCustomerExcludingAssessedTax,6750000000.0,NetIncomeLoss,126702000000.0,CostsAndExpenses,AMZN,0001018724
2023-09-30,143083000000.0,10-Q,Q3,2023.0,2023-10-27,,RevenueFromContractWithCustomerExcludingAssessedTax,9879000000.0,NetIncomeLoss,131895000000.0,CostsAndExpenses,AMZN,0001018724
2023-12-31,169961000000.0,10-K,Q4,2023.0,2024-02-02,,RevenueFromContractWithCustomerExcludingAssessedTax,10624000000.0,NetIncomeLoss,156752000000.0,CostsAndExpenses,AMZN,0001018724
2024-03-31,143313000000.0,10-Q,Q1,2024.0,2024-05-01,,RevenueFromContractWithCustomerExcludingAssessedTax,10431000000.0,NetIncomeLoss,128006000000.0,CostsAndExpenses,AMZN,0001018724
2024-06-30,147977000000.0,10-Q,Q2,2024.0,2024-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,13485000000.0,NetIncomeLoss,133305000000.0,CostsAndExpenses,AMZN,0001018724
2024-09-30,158877000000.0,10-Q,Q3,2024.0,2024-11-01,,RevenueFromContractWithCustomerExcludingAssessedTax,15328000000.0,NetIncomeLoss,141466000000.0,CostsAndExpenses,AMZN,0001018724
2024-12-31,187792000000.0,10-K,Q4,2024.0,2025-02-07,,RevenueFromContractWithCustomerExcludingAssessedTax,20004000000.0,NetIncomeLoss,166589000000.0,CostsAndExpenses,AMZN,0001018724
2025-03-31,155667000000.0,10-Q,Q1,2025.0,2025-05-02,,RevenueFromContractWithCustomerExcludingAssessedTax,17127000000.0,NetIncomeLoss,137262000000.0,CostsAndExpenses,AMZN,0001018724
2025-06-30,167702000000.0,10-Q,Q2,2025.0,2025-08-01,,RevenueFromContractWithCustomerExcludingAssessedTax,18164000000.0,NetIncomeLoss,148531000000.0,CostsAndExpenses,AMZN,0001018724
2025-09-30,180169000000.0,10-Q,Q3,2025.0,2025-10-31,CY2025Q3,RevenueFromContractWithCustomerExcludingAssessedTax,21187000000.0,NetIncomeLoss,162747000000.0,CostsAndExpenses,AMZN,0001018724
2025-12-31,213386000000.0,10-K,Q4,2025.0,2026-02-06,CY2025,RevenueFromContractWithCustomerExcludingAssessedTax,21192000000.0,NetIncomeLoss,188409000000.0,CostsAndExpenses,AMZN,0001018724
2026-03-31,181519000000.0,10-Q,Q1,2026.0,2026-04-30,CY2026Q1,RevenueFromContractWithCustomerExcludingAssessedTax,30255000000.0,NetIncomeLoss,157667000000.0,CostsAndExpenses,AMZN,0001018724
2026-06-30,200606000000.0,10-Q,Q2,2026.0,2026-07-31,CY2026Q2,RevenueFromContractWithCustomerExcludingAssessedTax,62647000000.0,NetIncomeLoss,173145000000.0,CostsAndExpenses,AMZN,0001018724
2019-04-28,2220000000.0,10-Q,Q1,2020.0,2019-05-16,,Revenues,394000000.0,NetIncomeLoss,938000000.0,OperatingExpenses,NVDA,0001045810
2019-07-28,2579000000.0,10-Q,Q2,2020.0,2019-08-15,,Revenues,552000000.0,NetIncomeLoss,970000000.0,OperatingExpenses,NVDA,0001045810
2019-10-27,3014000000.0,10-Q,Q3,2020.0,2019-11-14,,Revenues,899000000.0,NetIncomeLoss,989000000.0,OperatingExpenses,NVDA,0001045810
2020-04-26,3080000000.0,10-Q,Q1,2020.0,2020-05-21,,Revenues,917000000.0,NetIncomeLoss,1028000000.0,OperatingExpenses,NVDA,0001045810
2020-07-26,3866000000.0,10-Q,Q2,2020.0,2020-08-19,,Revenues,622000000.0,NetIncomeLoss,1624000000.0,OperatingExpenses,NVDA,0001045810
2020-10-25,4726000000.0,10-Q,Q3,2021.0,2020-11-18,,Revenues,1336000000.0,NetIncomeLoss,1562000000.0,OperatingExpenses,NVDA,0001045810
2021-05-02,5661000000.0,10-Q,Q1,2022.0,2021-05-26,,Revenues,1912000000.0,NetIncomeLoss,1673000000.0,OperatingExpenses,NVDA,0001045810
2021-08-01,6507000000.0,10-Q,Q2,2022.0,2021-08-20,,Revenues,2374000000.0,NetIncomeLoss,1771000000.0,OperatingExpenses,NVDA,0001045810
2021-10-31,7103000000.0,10-Q,Q3,2022.0,2021-11-22,,Revenues,2464000000.0,NetIncomeLoss,1960000000.0,OperatingExpenses,NVDA,0001045810
2022-01-30,7643000000.0,10-K,Q4,2022.0,2022-03-18,,Revenues,3003000000.0,NetIncomeLoss,2029000000.0,OperatingExpenses,NVDA,0001045810
2022-05-01,8288000000.0,10-Q,Q1,2023.0,2022-05-27,,Revenues,1618000000.0,NetIncomeLoss,3563000000.0,OperatingExpenses,NVDA,0001045810
2022-07-31,6704000000.0,10-Q,Q2,2023.0,2022-08-31,,Revenues,656000000.0,NetIncomeLoss,2416000000.0,OperatingExpenses,NVDA,0001045810
2022-10-30,5931000000.0,10-Q,Q3,2023.0,2022-11-18,,Revenues,680000000.0,NetIncomeLoss,2576000000.0,OperatingExpenses,NVDA,0001045810
2023-01-29,6051000000.0,10-K,Q4,2023.0,2023-02-24,,Revenues,1414000000.0,NetIncomeLoss,2577000000.0,OperatingExpenses,NVDA,0001045810
2023-04-30,7192000000.0,10-Q,Q1,2024.0,2023-05-26,,Revenues,2043000000.0,NetIncomeLoss,2508000000.0,OperatingExpenses,NVDA,0001045810
2023-07-30,13507000000.0,10-Q,Q2,2024.0,2023-08-28,,Revenues,6188000000.0,NetIncomeLoss,2662000000.0,OperatingExpenses,NVDA,0001045810
2023-10-29,18120000000.0,10-Q,Q3,2024.0,2023-11-21,,Revenues,9243000000.0,NetIncomeLoss,2983000000.0,OperatingExpenses,NVDA,0001045810
2024-01-28,22103000000.0,10-K,Q4,2024.0,2024-02-21,,Revenues,12285000000.0,NetIncomeLoss,3177000000.0,OperatingExpenses,NVDA,0001045810
2024-04-28,26044000000.0,10-Q,Q1,2025.0,2024-05-29,,Revenues,14881000000.0,NetIncomeLoss,3497000000.0,OperatingExpenses,NVDA,0001045810
2024-07-28,30040000000.0,10-Q,Q2,2025.0,2024-08-28,,Revenues,16599000000.0,NetIncomeLoss,3932000000.0,OperatingExpenses,NVDA,0001045810
2024-10-27,35082000000.0,10-Q,Q3,2025.0,2024-11-20,,Revenues,19309000000.0,NetIncomeLoss,4287000000.0,OperatingExpenses,NVDA,0001045810
2025-01-26,39331000000.0,10-K,Q4,2025.0,2025-02-26,,Revenues,22091000000.0,NetIncomeLoss,4689000000.0,OperatingExpenses,NVDA,0001045810
2025-04-27,44062000000.0,10-Q,Q1,2026.0,2025-05-28,,Revenues,18775000000.0,NetIncomeLoss,5030000000.0,OperatingExpenses,NVDA,0001045810
2025-07-27,46743000000.0,10-Q,Q2,2026.0,2025-08-27,,Revenues,26422000000.0,NetIncomeLoss,5413000000.0,OperatingExpenses,NVDA,0001045810
2025-10-26,57006000000.0,10-Q,Q3,2026.0,2025-11-19,CY2025Q3,Revenues,31910000000.0,NetIncomeLoss,5839000000.0,OperatingExpenses,NVDA,0001045810
2026-01-25,68127000000.0,10-K,Q4,2026.0,2026-02-25,CY2025,Revenues,42960000000.0,NetIncomeLoss,6794000000.0,OperatingExpenses,NVDA,0001045810
2026-04-26,81615000000.0,10-Q,Q1,2027.0,2026-05-20,CY2026Q1,Revenues,58321000000.0,NetIncomeLoss,7621000000.0,OperatingExpenses,NVDA,0001045810
2026-07-26,96221000000.0,10-Q,Q2,2027.0,2026-08-26,CY2026Q2,Revenues,59688000000.0,NetIncomeLoss,8408000000.0,OperatingExpenses,NVDA,0001045810
2019-01-31,137743000000.0,10-K,Q4,2019.0,2019-03-28,,RevenueFromContractWithCustomerExcludingAssessedTax,3687000000.0,NetIncomeLoss,,,WMT,0000104169
2019-04-30,122949000000.0,10-Q,Q1,2020.0,2019-06-07,,RevenueFromContractWithCustomerExcludingAssessedTax,3842000000.0,NetIncomeLoss,25946000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2019-07-31,129388000000.0,10-Q,Q2,2020.0,2019-09-06,,RevenueFromContractWithCustomerExcludingAssessedTax,3610000000.0,NetIncomeLoss,26871000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2019-10-31,126981000000.0,10-Q,Q3,2020.0,2019-12-04,,RevenueFromContractWithCustomerExcludingAssessedTax,3288000000.0,NetIncomeLoss,27373000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2020-01-31,140608000000.0,10-K,Q4,2020.0,2020-03-20,CY2019Q4,RevenueFromContractWithCustomerExcludingAssessedTax,4141000000.0,NetIncomeLoss,28601000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2020-04-30,133672000000.0,10-Q,Q1,2021.0,2020-06-03,,RevenueFromContractWithCustomerExcludingAssessedTax,3990000000.0,NetIncomeLoss,27372000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2020-07-31,136824000000.0,10-Q,Q2,2021.0,2020-09-02,,RevenueFromContractWithCustomerExcludingAssessedTax,6476000000.0,NetIncomeLoss,28994000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2020-10-31,133752000000.0,10-Q,Q3,2021.0,2020-12-02,,RevenueFromContractWithCustomerExcludingAssessedTax,5135000000.0,NetIncomeLoss,28591000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2021-01-31,150985000000.0,10-K,Q4,2021.0,2021-03-19,,RevenueFromContractWithCustomerExcludingAssessedTax,-2091000000.0,NetIncomeLoss,31331000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2021-04-30,137159000000.0,10-Q,Q1,2022.0,2021-06-04,,RevenueFromContractWithCustomerExcludingAssessedTax,2730000000.0,NetIncomeLoss,28129000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2021-07-31,139871000000.0,10-Q,Q2,2022.0,2021-09-02,,RevenueFromContractWithCustomerExcludingAssessedTax,4276000000.0,NetIncomeLoss,28511000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2021-10-31,139207000000.0,10-Q,Q3,2022.0,2021-12-01,,RevenueFromContractWithCustomerExcludingAssessedTax,3105000000.0,NetIncomeLoss,29710000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2022-01-31,151525000000.0,10-K,Q4,2022.0,2022-03-18,,RevenueFromContractWithCustomerExcludingAssessedTax,3562000000.0,NetIncomeLoss,31462000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2022-04-30,140288000000.0,10-Q,Q1,2023.0,2022-06-03,,RevenueFromContractWithCustomerExcludingAssessedTax,2054000000.0,NetIncomeLoss,29404000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2022-07-31,151381000000.0,10-Q,Q2,2023.0,2022-09-02,,RevenueFromContractWithCustomerExcludingAssessedTax,5149000000.0,NetIncomeLoss,30167000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2022-10-31,151469000000.0,10-Q,Q3,2023.0,2022-12-01,,RevenueFromContractWithCustomerExcludingAssessedTax,-1798000000.0,NetIncomeLoss,34505000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2023-01-31,162743000000.0,10-K,Q4,2023.0,2023-03-17,,RevenueFromContractWithCustomerExcludingAssessedTax,6275000000.0,NetIncomeLoss,33064000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2023-04-30,151004000000.0,10-Q,Q1,2024.0,2023-06-02,,RevenueFromContractWithCustomerExcludingAssessedTax,1673000000.0,NetIncomeLoss,30777000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2023-07-31,160280000000.0,10-Q,Q2,2024.0,2023-09-01,,RevenueFromContractWithCustomerExcludingAssessedTax,7891000000.0,NetIncomeLoss,32466000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2023-10-31,159439000000.0,10-Q,Q3,2024.0,2023-11-30,,RevenueFromContractWithCustomerExcludingAssessedTax,453000000.0,NetIncomeLoss,33419000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2024-01-31,171914000000.0,10-K,Q4,2024.0,2024-03-15,,RevenueFromContractWithCustomerExcludingAssessedTax,5494000000.0,NetIncomeLoss,34309000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
